id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-126;2021;15/05/2021;11/04/2021;16/04/2021;02/05/2021;7;7;5;0;NA;8877049;PM;12,76800000000000;18,8020000000000;36,8000000000000
DIJ-126;2022;12/05/2022;04/04/2022;12/04/2022;29/04/2022;7;7;6;0;8877527;NA;PM;16,04166666666667;19,6866666666667;43,5833333333333
DIJ-127;2019;09/05/2019;07/04/2019;NA;NA;7;7;5;0;NA;NA;PM;13,59600000000000;NA;NA
DIJ-127;2021;15/04/2021;08/04/2021;NA;NA;1;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-127;2022;06/05/2022;02/04/2022;06/04/2022;23/04/2022;6;6;0;0;NA;NA;PM;NA;NA;NA
DIJ-128;2021;19/05/2021;12/04/2021;19/04/2021;06/05/2021;9;9;9;0;NA;NA;CC;11,06111111111111;16,1244444444444;34,5555555555556
DIJ-128;2022;14/05/2022;08/04/2022;17/04/2022;01/05/2022;11;10;8;0;NA;NA;CC;11,04750000000000;16,6000000000000;38,1250000000000
DIJ-129;2019;18/05/2019;11/04/2019;NA;NA;12;12;7;0;NA;NA;CC;7,36571428571429;NA;NA
DIJ-129;2022;18/05/2022;13/04/2022;22/04/2022;05/05/2022;11;10;9;0;NA;NA;CC;NA;NA;NA
DIJ-130;2019;13/05/2019;05/04/2019;NA;NA;8;7;7;0;NA;NA;CC;9,18142857142857;NA;NA
DIJ-131;2019;18/05/2019;13/04/2019;NA;NA;11;10;5;0;NA;NA;CC;10,06800000000000;NA;NA
DIJ-131;2020;12/05/2020;07/04/2020;NA;NA;11;9;4;0;NA;NA;CC;8,88500000000000;17,0500000000000;NA
DIJ-131;2022;17/05/2022;08/04/2022;18/04/2022;03/05/2022;12;12;12;0;NA;NA;CC;NA;NA;NA
DIJ-132;2019;18/05/2019;11/04/2019;NA;NA;11;8;8;0;NA;NA;CC;8,66750000000000;NA;NA
DIJ-132;2021;21/04/2021;14/04/2021;NA;NA;3;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-132;2022;04/05/2022;30/03/2022;05/04/2022;21/04/2022;8;8;4;1;NA;8876584;PM;16,57250000000000;18,9550000000000;37,5000000000000
DIJ-133;2021;13/05/2021;06/04/2021;10/04/2021;30/04/2021;6;3;2;0;NA;8877037;PM;15,61000000000000;18,4800000000000;43,7500000000000
